n7,n8,n9,n10,n11,n12,category
0.2175453007221222,0.26775431632995605,0.22950290143489838,0.03693057596683502,0.5180344581604004,0.26892468333244324,1
0.10438080132007599,0.24182581901550293,0.03285763040184975,0.011295583099126816,0.46766382455825806,0.06212737783789635,0
0.18569345772266388,0.14379386603832245,0.13486936688423157,0.12035264074802399,0.6726365685462952,0.4437125623226166,1
0.19861271977424622,0.4955962300300598,0.18440201878547668,0.18533115088939667,0.39399266242980957,0.3691149950027466,1
0.07849739491939545,0.19030635058879852,0.12700510025024414,0.02067611739039421,0.5430554747581482,0.3977892994880676,1
0.060896191745996475,0.23020640015602112,0.15538166463375092,0.07113001495599747,0.4316362142562866,0.12106018513441086,1
0.06356615573167801,0.35040348768234253,0.06875789910554886,0.11990327388048172,0.5979112386703491,0.12164658308029175,1
0.07889951765537262,0.10028861463069916,0.18703576922416687,0.03883503004908562,0.4302246868610382,0.2122119963169098,0
0.11604558676481247,0.16260480880737305,0.14527501165866852,0.10750307887792587,0.7218015193939209,0.23306462168693542,1
0.03914586454629898,0.25818607211112976,0.07811231166124344,0.14268529415130615,0.4370522201061249,0.21565566956996918,1
0.06372188031673431,0.2663138210773468,0.07025320082902908,0.03557200729846954,0.47855761647224426,0.19779753684997559,1
0.3332270085811615,0.23539017140865326,0.1906299889087677,0.03726048767566681,0.5323870778083801,0.33580246567726135,0
0.17715159058570862,0.28145188093185425,0.16688823699951172,0.06589245796203613,0.559923529624939,0.29025399684906006,1
0.14778801798820496,0.30324089527130127,0.08458010852336884,0.1454523503780365,0.40883708000183105,0.05019759759306908,1
0.2802649140357971,0.3245408535003662,0.235079824924469,0.06282950192689896,0.753369152545929,0.4233258366584778,1
0.06486743688583374,0.5306631326675415,0.16919147968292236,0.07662266492843628,0.2507452964782715,0.19948436319828033,1
0.16197893023490906,0.10484098643064499,0.10513261705636978,0.03190173581242561,0.39960306882858276,0.3316221833229065,0
0.08332137763500214,0.24972723424434662,0.1641867607831955,0.014609551057219505,0.37855780124664307,0.1826440393924713,0
0.21108736097812653,0.18602856993675232,0.17957815527915955,0.09446189552545547,0.8601633310317993,0.03283277153968811,1
0.40634042024612427,0.33278733491897583,0.14072588086128235,0.013863814063370228,0.7358952164649963,0.11360559612512589,0
0.19042719900608063,0.1411232054233551,0.2923189401626587,0.09212322533130646,0.47611263394355774,0.13920390605926514,1
0.1188143789768219,0.34475797414779663,0.10818453133106232,0.00926531944423914,0.4891913831233978,0.13561344146728516,1
0.09673954546451569,0.5169970393180847,0.14845414459705353,0.048913829028606415,0.4335978925228119,0.22227898240089417,1
0.2146446704864502,0.27285727858543396,0.11160963773727417,0.0066580940037965775,0.5351811051368713,0.22341272234916687,0
0.09373322129249573,0.2584381401538849,0.3162376284599304,0.00920206680893898,0.62021404504776,0.009302892722189426,0
0.1944567710161209,0.18890035152435303,0.06091693043708801,0.008082276210188866,0.5306939482688904,0.05092693492770195,0
0.05790212005376816,0.15022815763950348,0.1198272705078125,0.00608567800372839,0.5363585352897644,0.09424813091754913,0
0.13913652300834656,0.32209649682044983,0.18491145968437195,0.051514532417058945,0.3667600750923157,0.2607862651348114,0
0.2744068503379822,0.4060249626636505,0.2469758540391922,0.09245440363883972,0.5837910771369934,0.04007219150662422,1
0.23050375282764435,0.07594533264636993,0.2960282564163208,0.02399539202451706,0.5256354212760925,0.25361207127571106,1
0.06900583207607269,0.06124264374375343,0.06791220605373383,0.02545161359012127,0.22571435570716858,0.2729576826095581,0
0.06363710016012192,0.40494728088378906,0.27889284491539,0.2247978150844574,0.24585853517055511,0.2482571303844452,1
0.04694361612200737,0.16483758389949799,0.2478843778371811,0.03584368899464607,0.4323846995830536,0.14835694432258606,1
0.052932821214199066,0.4961831569671631,0.02765878103673458,0.04033035784959793,0.6341589689254761,0.33745265007019043,1
0.09380773454904556,0.09950809925794601,0.15647369623184204,0.01548674888908863,0.3977769613265991,0.223533496260643,0
0.08461399376392365,0.17425379157066345,0.23693767189979553,0.0012453512754291296,0.7840667366981506,0.14765600860118866,0
0.04120423272252083,0.17868493497371674,0.19372443854808807,0.0009886780753731728,1.0975662469863892,0.20333331823349,0
0.2893931269645691,0.3745337128639221,0.19006209075450897,0.019074944779276848,0.587364137172699,0.025896793231368065,0
0.19123408198356628,0.38734176754951477,0.3054691553115845,0.0038528747390955687,0.8057100176811218,0.19789133965969086,0
0.2458614706993103,0.48604246973991394,0.29616931080818176,0.012702430598437786,0.7431310415267944,0.29866254329681396,0
0.13518843054771423,0.27752700448036194,0.40063294768333435,0.17026783525943756,0.4040784239768982,0.5801653265953064,0
0.05587376654148102,0.09970273077487946,0.21711194515228271,0.002045317552983761,0.6091281771659851,0.21479712426662445,0
